Spark_query_exec_stats_parquet_gzip_iceberg,Spark_query_exec_stats_parquet_snappy,Spark_query_exec_stats_orc_zlib,Spark_query_exec_stats_orc_snappy,Spark_query_exec_stats_parquet_gzip,Spark_query_exec_stats_orc_none,Spark_query_exec_stats_parquet_none
26.38538337,23.02166224,22.49652004,23.36712408,22.2752707,22.7060647,23.08218312
8.580528736,8.474652767,7.148979664,6.899130821,6.539748192,6.507690191,6.436477423
5.821232796,5.698081732,4.804522038,4.596768379,4.656368256,4.63882637,5.03934288
5.267501354,6.314230204,4.490911007,4.625468254,4.911569357,4.496552467,4.223269463
29.39073348,26.22996831,24.08920407,25.48548079,25.47091937,25.08968973,22.71394777
18.77621865,18.20645547,16.06954384,16.01434112,15.98268509,15.67434454,15.04044294
3.913838387,3.701101303,2.977311134,3.012516022,3.301544428,2.904535055,2.955767632
2.872808218,2.746781588,2.439537048,2.443743467,2.560637236,2.242459297,2.193199158
3.392205238,3.23602891,3.161790848,2.566992521,3.220042229,2.377147436,2.739587545
5.112798214,4.76042676,4.398504257,4.204739094,3.978895903,4.513209105,5.054409266
1.036197901,0.805552244,0.684743881,0.687494993,0.808955908,0.684767485,0.484598398
2.542849779,2.724562883,2.315166712,2.359030247,2.142422915,2.154863834,2.329225302
4.481837988,4.639403582,4.247133493,4.354704142,3.92942071,3.794838428,3.901246071
1.714841843,1.363265514,1.187796116,1.27592063,1.634693623,1.176906824,1.697515249
20.0646565,16.61032176,17.72603965,18.00498652,17.57472157,17.39990401,18.6724329
2.941669941,3.000853777,3.453912497,2.639028311,2.907781363,3.306683302,2.637712717
3.894903898,2.739789724,2.505784035,2.236152649,2.666668892,2.465812206,2.913804531
7.550608397,6.182601452,6.683207989,6.661944389,5.900693417,6.997822523,5.730006218
70.32895088,31.10549808,34.21040535,30.91201496,30.91349792,30.06775832,30.87824345
14.10891223,12.77606106,10.85335875,9.777101517,9.88918972,10.03049302,10.61105347
12.67003989,11.44632483,11.09424829,11.51035833,11.53514624,11.48117471,10.83815646
2.625798941,2.893265247,2.501693487,2.943244219,2.507581472,2.488700151,2.826119423
6.855734587,5.411379337,6.108293772,6.36460948,5.51828289,6.220250368,5.268988371
8.398954391,7.937989473,7.010084152,6.610346556,6.801484823,7.397250891,7.31729579
3.30782032,3.454217434,2.639924765,2.677867413,2.860847235,2.640036345,2.818122864
2.856942177,3.346252203,2.908126593,3.094258547,2.529248953,3.221313238,3.256235123
,,,,,,
Spark_query_exec_stats_parquet_gzip_iceberg,Spark_query_exec_stats_parquet_snappy,Spark_query_exec_stats_orc_zlib,Spark_query_exec_stats_orc_snappy,Spark_query_exec_stats_parquet_gzip,Spark_query_exec_stats_orc_none,Spark_query_exec_stats_parquet_none
274.8939681,218.8267279,208.2067435,205.3253675,203.0183184,202.6790946,201.6593835
